id;title;product_url;gender;price_retail;sub_categorie;categorie;age;shape;color;occasion;season
36891;Marc Jacobs Tinted Lens Square Frame Sunglasses with Splatter Finish;http://asos.com/prd/8614347;female;0;sunglasses;accessories;14_24;apple;grey;creative;spring
36892;Black Phoenix Sunglasses With Silver Bar Detail;http://asos.com/prd/8211732;female;0;sunglasses;accessories;14_24;apple;grey;casual;spring
36893;Matthew Williamson Red Tinted Lens Sunglasses;http://asos.com/prd/7717497;female;0;sunglasses;accessories;14_24;apple;orange;creative;spring
36895;Agent Provocateur Clear Lens Sunglasses;http://asos.com/prd/7673574;female;0;sunglasses;accessories;14_24;apple;red;beach;spring
36896;Matthew Williamson Smoke Mirrored Lens Square Sunglasses;http://asos.com/prd/7717606;female;0;sunglasses;accessories;14_24;apple;blue;casual;spring
36898;Agent Provocateur Satisfy Me Cherry Red Sunglasses;http://asos.com/prd/7673572;female;0;sunglasses;accessories;14_24;apple;red;beach;spring
36900;Marc Jacobs Cat Eye Chunky Frame Sunglasses;http://asos.com/prd/8614436;female;0;sunglasses;accessories;14_24;apple;orange;casual;spring
36901;Marc By Marc Jacobs Chunky Square Lens Sunglasses;http://asos.com/prd/8614375;female;0;sunglasses;accessories;14_24;apple;grey;casual;spring
36902;Marc Jacobs Square Chunky Frame Sunglasses;http://asos.com/prd/8614262;female;0;sunglasses;accessories;14_24;apple;grey;casual;spring
36903;Michael Kors Square Frame Optical Clear Lens Glasses;http://asos.com/prd/8656969;female;0;sunglasses;accessories;14_24;apple;grey;casual;spring
36904;Tommy Hilfiger Round Sunglasses;http://asos.com/prd/8614364;female;0;sunglasses;accessories;14_24;apple;orange;casual;spring
36905;Marc Jacobs Faded Lens Square Sunglasses;http://asos.com/prd/8614315;female;0;sunglasses;accessories;14_24;apple;grey;casual;spring
36906;Marc Jacobs Round Clear Lens Glasses;http://asos.com/prd/8614245;female;0;sunglasses;accessories;14_24;apple;grey;creative;spring
36907;Quay Australia Fleur Cut Out Cat Eye Sunglasses;http://asos.com/prd/8796314;female;0;sunglasses;accessories;14_24;apple;purple;casual;spring
36909;Marc By Marc Jacobs Round Clear Lens Glasses;http://asos.com/prd/8614349;female;0;sunglasses;accessories;14_24;apple;grey;casual;spring
36910;Tommy Hilfiger Grey Frame Sunglasses With Faded Lens;http://asos.com/prd/8614384;female;0;sunglasses;accessories;14_24;apple;blue;casual;spring
36911;Miss KG Round Sunglasses;http://asos.com/prd/8897175;female;0;sunglasses;accessories;14_24;apple;blue;casual;spring
